weeks,date_cell,trace_file_name_25,trace_file_name_4half,cap,peak_25,peak_4half
12.6,11/04/2015 Cell 1,15n04003.xlsx,15n04002.xlsx,345,32.9678260869565,30.78
12.6,11/04/2015 Cell 2,15n04007.xlsx,NA,118,77.0439830508475,77.69
12.6,11/04/2015 Cell 3,15n04010.xlsx,15n04009.xlsx,234,10.6289743589744,11.01
12.6,11/04/2015 Cell 5,15n04015.xlsx,15n04014.xlsx,217,24.8641013824885,24.78
12.6,11/04/2015 Cell 6,15n04018.xlsx,15n04017.xlsx,233,39.017982832618,40.71
12.6,11/04/2015 Cell 7,15n04021.xlsx,15n04020.xlsx,219,48.0059360730594,47.02
12.6,11/04/2015 Cell 8,15n04024.xlsx,15n04023.xlsx,259,23.2004247104247,23.5
12.6,11/04/2015 Cell 9,15n04027.xlsx,15n04026.xlsx,209,48.2148325358852,49.79
12.6,11/04/2015 Cell 10,15n04030.xlsx,15n04029.xlsx,300,28.7170333333333,31.11
12.7,11/03/2015 Cell 1,15n03003.xlsx,15n03002.xlsx,221,53.4402714932127,56.44
12.7,11/03/2015 Cell 2,15n03006.xlsx,15n03005.xlsx,224,56.5803571428571,54.71
12.7,11/03/2015 Cell 3,15n03009.xlsx,15n03008.xlsx,202,61.2920792079208,56.06
12.7,11/03/2015 Cell 4,15n03012.xlsx,15n03011.xlsx,177,62.4316384180791,69.33
12.7,11/03/2015 Cell 5,15n03015.xlsx,15n03014.xlsx,200,18.5852,18.69
12.7,11/03/2015 Cell 6,15n03018.xlsx,15n03017.xlsx,357,9.19801120448179,9.49
12.7,11/03/2015 Cell 8,15n03026.xlsx,NA,153,20.9833333333333,NA
12.7,11/03/2015 Cell 9,15n03029.xlsx,15n03028.xlsx,228,13.1439912280702,13.52
13.3,11/09/2015 Cell 1,15n09003.xlsx,15n09002.xlsx,204,14.0620098039216,13.66
13.3,11/09/2015 Cell 2,15n09006.xlsx,15n09005.xlsx,292,22.9404452054795,23.48
14,10/27/2015 Cell 1,15o27003.xlsx,15o27002.xlsx,351,14.1893732193732,14.59
14,10/27/2015 Cell 2,15o27006.xlsx,15o27005.xlsx,220,21.3206818181818,20.42
14,10/27/2015 Cell 4,15o27011.xlsx,15o27010.xlsx,364,11.4021703296703,11.74
14,10/27/2015 Cell 6,15o27019.xlsx,15o27018.xlsx,273,10.329010989011,10.69
14,10/27/2015 Cell 8,15o27026.xlsx,15o27025.xlsx,261,16.0889655172414,16.69
14,10/27/2015 Cell 9,15o27029.xlsx,15o27028.xlsx,177,13.3105084745763,13.1
14,10/27/2015 Cell 10,15o27032.xlsx,15o27031.xlsx,229,11.5940174672489,11.79
14.1,10/28/2015 Cell 2,15o28007.xlsx,15o28006.xlsx,299,28.9355518394649,28.14
14.1,10/28/2015 Cell 3,15o28010.xlsx,15o28009.xlsx,265,27.4658113207547,28.05
14.1,10/28/2015 Cell 4,15o28013.xlsx,15o28012.xlsx,384,17.7621875,18
14.9,11/20/2015 Cell 2,15n20006.xlsx,15n20005.xlsx,489,13.3428629856851,14.05
14.9,11/20/2015 Cell 3,15n20009.xlsx,15n20008.xlsx,245,12.817387755102,12.56
14.9,11/20/2015 Cell 3,15n20013.xlsx,15n20012.xlsx,305,14.9085901639344,15.22
15.4,11/24/2015 Cell 2,15n24006.xlsx,15n24005.xlsx,177,25.7071751412429,24.98
15.4,11/24/2015 Cell 4,15n24011.xlsx,15n24010.xlsx,260,33.4989230769231,34.72
15.4,11/24/2015 Cell 5,15n24014.xlsx,15n24013.xlsx,209,13.8716267942584,13.17
